numero_puntos,n_puntos_cupula,t_gift_wrapping,t_incremental,t_incremental_nosort,correcto_gw,correcto_inc,correcto_incns
50000,500,0.0779646,0.00735495,0.00266966,1,1,1
50000,600,0.0937743,0.00734487,0.00262788,1,1,1
50000,700,0.109314,0.00733243,0.00262744,1,1,1
50000,800,0.124538,0.00736434,0.00260435,1,1,1
50000,900,0.140568,0.0073483,0.00263484,1,1,1
50000,1000,0.156172,0.0073437,0.00265601,1,1,1
55000,100,0.017565,0.00858463,0.00309499,1,1,1
55000,200,0.0345298,0.00817718,0.00295319,1,1,1
55000,300,0.0522056,0.00814022,0.0029673,1,1,1
55000,400,0.0697398,0.00825153,0.00291207,1,1,1
55000,500,0.0863103,0.00817866,0.00292754,1,1,1
55000,600,0.104547,0.00810765,0.00290624,1,1,1
55000,700,0.120436,0.00816445,0.00293042,1,1,1
55000,800,0.138188,0.00828408,0.00291434,1,1,1
55000,900,0.154787,0.00834282,0.00290537,1,1,1
55000,1000,0.170982,0.00813382,0.0031338,1,1,1
60000,100,0.0192118,0.0093141,0.00334378,1,1,1
60000,200,0.0379427,0.00901669,0.00338804,1,1,1
60000,300,0.0563742,0.0089908,0.00322389,1,1,1
60000,400,0.0749917,0.00892351,0.00321804,1,1,1
60000,500,0.0941469,0.00900583,0.00325015,1,1,1
60000,600,0.113045,0.00888835,0.00319181,1,1,1
60000,700,0.132266,0.00890619,0.00317187,1,1,1
60000,800,0.150688,0.00895108,0.00316996,1,1,1
60000,900,0.168696,0.00889801,0.00316533,1,1,1
60000,1000,0.18884,0.00895877,0.00319218,1,1,1
65000,100,0.0207893,0.0100477,0.00365046,1,1,1
65000,200,0.0409682,0.00976275,0.00347789,1,1,1
65000,300,0.061298,0.00979931,0.00350923,1,1,1
65000,400,0.0808688,0.00976048,0.00345186,1,1,1
65000,500,0.10138,0.00970164,0.0035119,1,1,1
65000,600,0.122046,0.00969062,0.00347901,1,1,1
65000,700,0.142603,0.0097179,0.00344203,1,1,1
65000,800,0.163495,0.00968786,0.0034442,1,1,1
65000,900,0.183175,0.00966302,0.00342246,1,1,1
65000,1000,0.203618,0.00974995,0.00344487,1,1,1
70000,100,0.0225987,0.0110877,0.00393273,1,1,1
70000,200,0.0441182,0.0105444,0.00375862,1,1,1
70000,300,0.0655217,0.0105715,0.003767,1,1,1
70000,400,0.0886056,0.010504,0.00375538,1,1,1
70000,500,0.110614,0.0105901,0.00378659,1,1,1
70000,600,0.13143,0.0104641,0.0036973,1,1,1
70000,700,0.15404,0.010537,0.00373983,1,1,1
70000,800,0.176103,0.0104738,0.00370393,1,1,1
70000,900,0.198624,0.0105154,0.0037162,1,1,1
70000,1000,0.21961,0.0105709,0.0037298,1,1,1
75000,100,0.0239244,0.0117689,0.0041731,1,1,1
75000,200,0.0477696,0.011359,0.00399211,1,1,1
75000,300,0.0712158,0.011394,0.0040223,1,1,1
75000,400,0.0950818,0.0113387,0.0040101,1,1,1
75000,500,0.1184,0.0113933,0.00400545,1,1,1
75000,600,0.141635,0.0113437,0.00404036,1,1,1
75000,700,0.166727,0.0112765,0.00401759,1,1,1
75000,800,0.189055,0.0112963,0.00395677,1,1,1
75000,900,0.212308,0.0113352,0.00400785,1,1,1
75000,1000,0.23583,0.0113737,0.00397063,1,1,1
80000,100,0.025686,0.0124844,0.00450702,1,1,1
80000,200,0.0513567,0.0120865,0.00427944,1,1,1
80000,300,0.0759568,0.0122502,0.00430377,1,1,1
80000,400,0.102017,0.0121328,0.00425991,1,1,1
80000,500,0.126289,0.0121208,0.00431536,1,1,1
80000,600,0.151428,0.0121278,0.00423876,1,1,1
80000,700,0.177086,0.0122156,0.00430862,1,1,1
80000,800,0.202543,0.0121171,0.00450641,1,1,1
80000,900,0.227488,0.0120513,0.00422208,1,1,1
80000,1000,0.25345,0.0120693,0.00428956,1,1,1
85000,100,0.0274593,0.0133554,0.00474382,1,1,1
85000,200,0.0537088,0.012944,0.00454409,1,1,1
85000,300,0.0809803,0.0129903,0.0046135,1,1,1
85000,400,0.107192,0.0130245,0.00453898,1,1,1
85000,500,0.134773,0.0129634,0.00462157,1,1,1
85000,600,0.161382,0.0129675,0.00460328,1,1,1
85000,700,0.187769,0.0128971,0.00453977,1,1,1
85000,800,0.213044,0.0130854,0.00462158,1,1,1
85000,900,0.241586,0.0128145,0.00450004,1,1,1
85000,1000,0.266313,0.0129206,0.0045414,1,1,1
90000,100,0.0290893,0.0144503,0.00504072,1,1,1
90000,200,0.0569446,0.0138175,0.00478198,1,1,1
90000,300,0.0849531,0.013739,0.00486733,1,1,1
90000,400,0.114111,0.0137187,0.00480101,1,1,1
90000,500,0.141728,0.0138154,0.0048154,1,1,1
90000,600,0.170179,0.0136754,0.00481271,1,1,1
90000,700,0.198214,0.0136357,0.00478785,1,1,1
90000,800,0.227182,0.0136452,0.00476874,1,1,1
90000,900,0.256401,0.0136902,0.00482747,1,1,1
90000,1000,0.283302,0.0136691,0.00478005,1,1,1
95000,100,0.0305368,0.0152145,0.00532754,1,1,1
95000,200,0.0597915,0.0153301,0.00507029,1,1,1
95000,300,0.0893389,0.0144943,0.00513253,1,1,1
95000,400,0.119563,0.0145739,0.00506819,1,1,1
95000,500,0.149515,0.0146783,0.00509047,1,1,1
95000,600,0.179255,0.014549,0.00510486,1,1,1
95000,700,0.208268,0.0145276,0.00504247,1,1,1
95000,800,0.239977,0.0144533,0.00503777,1,1,1
95000,900,0.268276,0.0144818,0.00507565,1,1,1
95000,1000,0.299417,0.0156168,0.00527869,1,1,1
100000,100,0.03189,0.0158625,0.00566749,1,1,1
100000,200,0.0647137,0.0154507,0.00534679,1,1,1
100000,300,0.0943082,0.0155882,0.0053606,1,1,1
100000,400,0.126726,0.015252,0.00535072,1,1,1
100000,500,0.157319,0.0154322,0.00542294,1,1,1
100000,600,0.190013,0.0153973,0.00533594,1,1,1
100000,700,0.218967,0.0153185,0.00533311,1,1,1
100000,800,0.250483,0.0153807,0.00526818,1,1,1
100000,900,0.281196,0.0153418,0.00538412,1,1,1
100000,1000,0.312388,0.0153775,0.00533624,1,1,1
