numero_puntos,t_gift_wrapping,t_incremental,t_incremental_nosort,igual_gw_inc,igual_gw_incns,igual_inc_incns,n_cupula_gw,n_cupula_inc,n_cupula_incns
45000,0.00351382,0.00670462,0.00235773,1,1,1,24,24,24
45000,0.00420616,0.00668201,0.00235281,1,1,1,29,29,29
45000,0.0039311,0.00670266,0.00233996,1,1,1,27,27,27
45000,0.00378985,0.00668146,0.00234683,1,1,1,26,26,26
45000,0.00382055,0.00670232,0.00235267,1,1,1,26,26,26
45000,0.00409973,0.00668593,0.00233168,1,1,1,28,28,28
45000,0.00355737,0.00666871,0.00234031,1,1,1,24,24,24
45000,0.0039316,0.00667245,0.00232945,1,1,1,27,27,27
50000,0.0044159,0.00748498,0.00260662,1,1,1,27,27,27
50000,0.00442751,0.00747953,0.00260509,1,1,1,27,27,27
50000,0.00405762,0.00745002,0.00260356,1,1,1,25,25,25
50000,0.00467828,0.00745301,0.00258821,1,1,1,29,29,29
50000,0.00544503,0.00753552,0.00260667,1,1,1,34,34,34
50000,0.00421338,0.00746555,0.00263253,1,1,1,26,26,26
50000,0.00448697,0.00745087,0.00261918,1,1,1,27,27,27
50000,0.00436509,0.00744354,0.00260632,1,1,1,27,27,27
50000,0.0042127,0.00747914,0.00261451,1,1,1,26,26,26
50000,0.00406713,0.00747414,0.00259557,1,1,1,25,25,25
55000,0.00570714,0.00828182,0.00286937,1,1,1,32,32,32
55000,0.00549603,0.00829478,0.00288875,1,1,1,31,31,31
55000,0.00451673,0.00831917,0.00290499,1,1,1,25,25,25
55000,0.0044708,0.00826914,0.00289715,1,1,1,25,25,25
55000,0.00497394,0.00826495,0.00291527,1,1,1,28,28,28
55000,0.00531155,0.00829716,0.00291129,1,1,1,30,30,30
55000,0.00531014,0.00829551,0.00291126,1,1,1,30,30,30
55000,0.00481828,0.00828634,0.00288975,1,1,1,27,27,27
55000,0.00691314,0.00830108,0.00288394,1,1,1,38,38,38
55000,0.00446328,0.00825111,0.00291614,1,1,1,25,25,25
60000,0.00567817,0.00909305,0.0031889,1,1,1,29,29,29
60000,0.00671976,0.00910627,0.00317482,1,1,1,35,35,35
60000,0.00657066,0.00912329,0.00312913,1,1,1,34,34,34
60000,0.00560915,0.00907955,0.00314945,1,1,1,29,29,29
60000,0.00561016,0.00911257,0.00315616,1,1,1,29,29,29
60000,0.00597959,0.00908461,0.00316564,1,1,1,31,31,31
60000,0.00468519,0.00907433,0.00316415,1,1,1,24,24,24
60000,0.00470768,0.00904376,0.00316866,1,1,1,24,24,24
60000,0.00529783,0.00912422,0.00317252,1,1,1,27,27,27
60000,0.00582308,0.00916068,0.00316828,1,1,1,30,30,30
65000,0.00653251,0.00995264,0.00342612,1,1,1,31,31,31
65000,0.00732632,0.00988148,0.00342632,1,1,1,34,34,34
65000,0.00732007,0.00991344,0.00344548,1,1,1,34,34,34
65000,0.00664974,0.0099499,0.00346339,1,1,1,30,30,30
65000,0.00531536,0.00993127,0.00343337,1,1,1,24,24,24
65000,0.00591546,0.00998169,0.00344546,1,1,1,27,27,27
65000,0.00612264,0.00993624,0.00343379,1,1,1,28,28,28
65000,0.00688095,0.00984736,0.00341492,1,1,1,31,31,31
65000,0.0057103,0.00987742,0.00343214,1,1,1,26,26,26
65000,0.00654381,0.00996254,0.00345144,1,1,1,30,30,30
70000,0.00714808,0.0109263,0.00368782,1,1,1,30,30,30
70000,0.00679869,0.0106536,0.00369888,1,1,1,29,29,29
70000,0.00682262,0.010697,0.00372326,1,1,1,29,29,29
70000,0.00716458,0.0106718,0.00372512,1,1,1,30,30,30
